date,Lunch ,Dinner ,Total
Tue 1 Dec 20,0.0,0.0,0.0
Wed 2 Dec 20,0.0,0.0,0.0
Thu 3 Dec 20,0.0,0.0,0.0
Fri 4 Dec 20,0.0,0.0,0.0
Sat 5 Dec 20,0.0,0.0,0.0
Sun 6 Dec 20,0.0,0.0,0.0
Mon 7 Dec 20,0.0,0.0,0.0
Tue 8 Dec 20,0.0,0.0,0.0
Wed 9 Dec 20,0.0,0.0,0.0
Thu 10 Dec 20,0.0,0.0,0.0
Fri 11 Dec 20,0.0,0.0,0.0
Sat 12 Dec 20,0.0,0.0,0.0
Sun 13 Dec 20,0.0,0.0,0.0
Mon 14 Dec 20,0.0,0.0,0.0
Tue 15 Dec 20,0.0,0.0,0.0
Wed 16 Dec 20,0.0,0.0,0.0
Thu 17 Dec 20,0.0,0.0,0.0
Fri 18 Dec 20,0.0,0.0,0.0
Sat 19 Dec 20,0.0,0.0,0.0
Sun 20 Dec 20,0.0,0.0,0.0
Mon 21 Dec 20,0.0,0.0,0.0
Tue 22 Dec 20,0.0,0.0,0.0
Wed 23 Dec 20,0.0,0.0,0.0
Thu 24 Dec 20,0.0,0.0,0.0
Fri 25 Dec 20,0.0,0.0,0.0
Sat 26 Dec 20,0.0,0.0,0.0
Sun 27 Dec 20,0.0,0.0,0.0
Mon 28 Dec 20,0.0,0.0,0.0
Tue 29 Dec 20,0.0,0.0,0.0
Wed 30 Dec 20,0.0,0.0,0.0
Thu 31 Dec 20,0.0,0.0,0.0
Fri 1 Jan 21,0.0,0.0,0.0
Sat 2 Jan 21,0.0,0.0,0.0
Sun 3 Jan 21,0.0,0.0,0.0
Mon 4 Jan 21,0.0,0.0,0.0
Tue 5 Jan 21,0.0,0.0,0.0
Wed 6 Jan 21,0.0,0.0,0.0
Thu 7 Jan 21,0.0,0.0,0.0
Fri 8 Jan 21,0.0,0.0,0.0
Sat 9 Jan 21,0.0,0.0,0.0
Sun 10 Jan 21,0.0,0.0,0.0
Mon 11 Jan 21,0.0,0.0,0.0
Tue 12 Jan 21,0.0,0.0,0.0
Wed 13 Jan 21,0.0,0.0,0.0
Thu 14 Jan 21,0.0,0.0,0.0
Fri 15 Jan 21,0.0,0.0,0.0
Sat 16 Jan 21,0.0,0.0,0.0
Sun 17 Jan 21,0.0,0.0,0.0
Mon 18 Jan 21,0.0,0.0,0.0
Tue 19 Jan 21,0.0,0.0,0.0
Wed 20 Jan 21,0.0,0.0,0.0
Thu 21 Jan 21,0.0,0.0,0.0
Fri 22 Jan 21,0.0,0.0,0.0
Sat 23 Jan 21,0.0,0.0,0.0
Sun 24 Jan 21,0.0,0.0,0.0
Mon 25 Jan 21,0.0,0.0,0.0
Tue 26 Jan 21,0.0,0.0,0.0
Wed 27 Jan 21,0.0,0.0,0.0
Thu 28 Jan 21,0.0,0.0,0.0
Fri 29 Jan 21,0.0,0.0,0.0
Sat 30 Jan 21,0.0,0.0,0.0
Sun 31 Jan 21,0.0,0.0,0.0
Mon 1 Feb 21,0.0,0.0,0.0
Tue 2 Feb 21,0.0,0.0,0.0
Wed 3 Feb 21,0.0,0.0,0.0
Thu 4 Feb 21,0.0,0.0,0.0
Fri 5 Feb 21,0.0,0.0,0.0
Sat 6 Feb 21,0.0,0.0,0.0
Sun 7 Feb 21,0.0,0.0,0.0
Mon 8 Feb 21,0.0,0.0,0.0
Tue 9 Feb 21,0.0,0.0,0.0
Wed 10 Feb 21,0.0,0.0,0.0
Thu 11 Feb 21,0.0,0.0,0.0
Fri 12 Feb 21,0.0,0.0,0.0
Sat 13 Feb 21,0.0,0.0,0.0
Sun 14 Feb 21,0.0,0.0,0.0
Mon 15 Feb 21,0.0,0.0,0.0
Tue 16 Feb 21,0.0,0.0,0.0
Wed 17 Feb 21,0.0,0.0,0.0
Thu 18 Feb 21,0.0,0.0,0.0
Fri 19 Feb 21,0.0,0.0,0.0
Sat 20 Feb 21,0.0,0.0,0.0
Sun 21 Feb 21,0.0,0.0,0.0
Mon 22 Feb 21,0.0,0.0,0.0
Tue 23 Feb 21,0.0,0.0,0.0
Wed 24 Feb 21,0.0,0.0,0.0
Thu 25 Feb 21,0.0,0.0,0.0
